dátum;leves;főétel;köret
2020.01.01;korhelyleves;rántott hús;petrezselymes burgonya
2020.01.02;karalábéleves;;
2020.01.03;karalábéleves;rántott csirkemell;krumplipüré
2020.01.04;;harasztos káposzta;
2020.01.05;;;
2020.01.06;;;
2020.01.07;;;
2020.01.08;;;
2020.01.09;;;
2020.01.10;;;
2020.01.11;;;
2020.01.12;;;
2020.01.13;;;
2020.01.14;;;
2020.01.15;;;
2020.01.16;;;
2020.01.17;;;
2020.01.18;;;
2020.01.19;;;
2020.01.20;;;
2020.01.21;;;
2020.01.22;;;
2020.01.23;;;
2020.01.24;;;
2020.01.25;bableves;;
2020.01.26;bableves;;
2020.01.27;;borsópörkölt;
2020.01.28;;tepsis káposzta;
2020.01.29;raguleves;csirkemell roston;rizs
2020.01.30;raguleves;csirkemell roston;rizs
2020.01.31;sárgaborsókrémleves;;kakaós csiga
2020.02.01;szilvaleves;sertésszűz budapest módra;rizs
2020.02.02;szilvaleves;sertésszűz budapest módra;rizs
2020.02.03;;sertésszűz budapest módra;bulgur
2020.02.04;;;
2020.02.05;;paprikás krumplis nokedli;
2020.02.06;;paprikás krumplis nokedli;
2020.02.07;;;
2020.02.08;csontleves;rántott hús;petrezselymes burgonya
2020.02.09;csontleves;csípős csirkeszárnyak;
2020.02.10;csontleves;stefánia vagdalt;
2020.02.11;;rizses hús;
2020.02.12;;tökfőzelék;
2020.02.13;;resztelt máj;
2020.02.14;;hurka kolbász;
2020.02.15;tárkonyos sertésraguleves;;fánk
2020.02.16;tárkonyos sertésraguleves;;kakaós csiga
2020.02.17;;babfőzelék;
2020.02.18;;rizses hús;
2020.02.19;;tepsis tészta;
2020.02.20;;;
2020.02.21;;harasztos káposzta;
2020.02.22;;harasztos káposzta;
2020.02.23;zöldségleves;harasztos káposzta;
2020.02.24;zöldségleves;resztelt máj;főtt krumpli
2020.02.25;;harasztos káposzta;
2020.02.26;csontleves;hortobágyi húsos palacsinta;
2020.02.27;csontleves;hortobágyi húsos palacsinta;
2020.02.28;;;
2020.02.29;;milánói;spagetti
2020.03.01;csontleves;sertészszűz roston;rizs
2020.03.02;csontleves;sertészszűz roston;rizs
2020.03.03;;hurka kolbász;
2020.03.04;;hurka kolbász;
2020.03.05;;marhasült meggyszósszal;főtt krumpli
2020.03.06;;sertészszűz roston;
2020.03.07;csirkeraguleves;túrós tészta;
2020.03.08;;marhasült meggyszósszal;főtt krumpli
2020.03.09;csirkeraguleves;sertéspörkölt;nokedli
2020.03.10;csirkeraguleves;sertéspörkölt;nokedli
2020.03.11;;;
2020.03.12;;;
2020.03.13;;;
2020.03.14;;lecsó;
2020.03.15;halászlé;stroganoff bélszín;rizs
2020.03.16;halászlé;stroganoff bélszín;rizs
2020.03.17;tarhonyaleves;kelkáposztafőzelék;
2020.03.18;tojásleves;krumplis tészta;
2020.03.19;;lencsefőzelék;
2020.03.20;;lencsefőzelék;
2020.03.21;gyümölcsleves;tejszínes gombás brokkolis csirkemell;penne
2020.03.22;;rakott káposzta;
2020.03.23;;tejszínes gombás brokkolis csirkemell;penne
2020.03.24;;rakott káposzta;
2020.03.25;;rakott káposzta;
2020.03.26;lebbencsleves;krumplifőzelék;
2020.03.27;;zöldséges fetás csirke;
2020.03.28;gulyásleves;;kelt kalácsok
2020.03.29;;marhapörkölt;tarhonya
2020.03.30;gulyásleves;palacsinta;
2020.03.31;;marha pörkölt;nokedli
2020.04.01;;borsópörkölt;
2020.04.02;;sárgaborsó főzelék;
2020.04.03;;sóska;
2020.04.04;brokkolikrémleves;rántott hús;kukoricás rizs
2020.04.05;májgombócleves;sült csirkecomb;majonézes krumplisaláta
2020.04.06;májgombócleves;sült csirkecomb;majonézes krumplisaláta
2020.04.07;zöldséges bableves;;
2020.04.08;zöldséges bableves;;
2020.04.09;zöldséges bableves;;
2020.04.10;;lecsó;tarhonya
2020.04.11;;túrós tészta;
2020.04.12;;sült kacsacomb párolt lilakáposztával;hagymás tört krumpli
2020.04.13;;vadpástétom;
2020.04.14;;vadpástétom;
2020.04.15;;vadpástétom;
2020.04.16;paradicsomleves;túrós tészta;
2020.04.17;karalábéleves;mákos tészta;
2020.04.18;;;
2020.04.19;babgulyás;;kelt kalácsok
2020.04.20;babgulyás;;kelt kalácsok
2020.04.21;babgulyás;marhasült meggyszósszal;főtt krumpli
2020.04.22;;bauernfrühstück;
2020.04.23;paradicsomleves ;grízes tészta;
2020.04.24;;kenyérlángos;
2020.04.25;;hurka kolbász;
2020.04.26;borsóleves;ananászos csirkemell;rizs
2020.04.27;borsóleves;ananászos csirkemell;rizs
2020.04.28;sárgaborsóleves;;pogácsa
2020.04.29;;halrudak;bulgur
2020.04.30;;;
2020.05.01;brokkolikrémleves;sajtos hús;krumplipüré
2020.05.02;brokkolikrémleves;sajtos hús;krumplipüré
2020.05.03;;marhapörkölt;nokedli
2020.05.04;;marhapörkölt;nokedli
2020.05.05;;marhapörkölt;nokedli
2020.05.06;tarhonyaleves;;kakaós csiga
2020.05.07;;hurka kolbász;párolt káposzta
2020.05.08;;hurka kolbász;párolt káposzta
2020.05.09;;cigánypecsenye;sült krumpli
2020.05.10;;cigánypecsenye;sült krumpli
2020.05.11;;cigánypecsenye;sült krumpli
2020.05.12;;borsópörkölt;
2020.05.13;;káposztás tészta;
2020.05.14;;káposztás tészta;
2020.05.15;tyúkhúsleves;csirkepörkölt;nokedli
2020.05.16;tyúkhúsleves;csirkepörkölt;nokedli
2020.05.17;;lazac roston;zöldséges bulgur
2020.05.18;;rizses hús;
2020.05.19;karalábéleves;sertéspörkölt;
2020.05.20;;káposztás tészta;
2020.05.21;;lencsefőzelék;
2020.05.22;;lencsefőzelék;
2020.05.23;;hurka kolbász;
2020.05.24;karalábéleves;lencsefőzelék;
2020.05.25;;lazac roston;zöldborsós orsó tészta
2020.05.26;gombaleves;grízes tészta;
2020.05.27;gombaleves;rántott sajt;rizs
2020.05.28;;zuzapörkölt;tarhonya
2020.05.29;;lazac hollandi mártással;spárga
2020.05.30;csirkeraguleves;kenyérlángos;
2020.05.31;csirkeraguleves;wellington bélszín;
2020.06.01;csirkeraguleves;wellington bélszín;
2020.06.02;;csirkemell roston;sült krumpli
2020.06.03;;ganca;
2020.06.04;;ganca;
2020.06.05;;ganca;
2020.06.06;;rántott sajt;zöldséges bulgur
2020.06.07;paradicsomleves;brassói;sült krumpli
2020.06.08;;brassói;sült krumpli
2020.06.09;;kelkáposztafőzelék;
2020.06.10;zöldségleves;gombás marhapörkölt;nokedli
2020.06.11;;lecsó;tarhonya
2020.06.12;zöldségleves;aranygaluska vaníliasodóval;
2020.06.13;gombaleves;halrudak;bulgur
2020.06.14;gyümölcsleves;csirkemell roston;rizs
2020.06.15;gyümölcsleves;csirkemell roston;rizs
2020.06.16;gombaleves;káposztás tészta;
2020.06.17;krumplileves;lángos;
2020.06.18;krumplileves;mákos tészta;
2020.06.19;;lazac roston;zöldséges bulgur
2020.06.20;;hurka kolbász;
2020.06.21;zöldségleves;tyúkpörkölt;nokedli
2020.06.22;zöldségleves;tyúkpörkölt;nokedli
2020.06.23;;lecsó;
2020.06.24;gulyásleves;;pogácsa
2020.06.25;gulyásleves;palacsinta;
2020.06.26;;vadas;csőtészta
2020.06.27;;vadas;csőtészta
2020.06.28;májgombócleves;bakonyi sertésszelet;nokedli
2020.06.29;májgombócleves;bakonyi sertésszelet;nokedli
2020.06.30;májgombócleves;bakonyi sertésszelet;nokedli
2020.07.01;;halrudak;rizs
2020.07.02;;;
2020.07.03;;borjúpaprikás;túrós csusza
2020.07.04;;borjúpaprikás;túrós csusza
2020.07.05;;sült csirkecomb;kukoricás rizs
2020.07.06;;sült csirkecomb;sült krumpli
2020.07.07;;sült csirkecomb;kukoricás rizs
2020.07.08;fokhagymakrémleves;tökfőzelék;
2020.07.09;fokhagymakrémleves;resztelt máj;főtt krumpli
2020.07.10;gyümölcsleves;mákos guba vaníliasodóval;
2020.07.11;gyümölcsleves;csirkemell roston;rizs
2020.07.12;paradicsomleves;csirkemell roston;petrezselymes burgonya
2020.07.13;csirkeraguleves;lecsó;
2020.07.14;csirkeraguleves;halrudak;
2020.07.15;krumplileves;csirkemell roston;
2020.07.16;krumplileves;hurka;
2020.07.17;;hurka;
2020.07.18;;;
2020.07.19;;;
2020.07.20;babgulyás;;
2020.07.21;;milánói;spagetti
2020.07.22;;milánói;spagetti
2020.07.23;;milánói;spagetti
2020.07.24;;marhapörkölt;tarhonya
2020.07.25;;marhapörkölt;tarhonya
2020.07.26;;kenyérlángos;
2020.07.27;tyúkhúsleves;kenyérlángos;
2020.07.28;;marhapörkölt;tarhonya
2020.07.29;tyúkhúsleves;;
2020.07.30;;tökfőzelék;
2020.07.31;;halrudak;
2020.08.01;;zöldséges fetás csirke;
2020.08.02;;zöldséges fetás csirke;
2020.08.03;;brassói;sült krumpli
2020.08.04;;brassói;sült krumpli
2020.08.05;tojásleves;káposztás tészta;
2020.08.06;tojásleves;káposztás tészta;
2020.08.07;;tökfőzelék;
2020.08.08;;tökfőzelék;
2020.08.09;;sertéspörkölt;tészta
2020.08.10;;csirkemell roston;rizibizi
2020.08.11;;;
2020.08.12;;;
2020.08.13;;;
2020.08.14;;kenyérlángos;
2020.08.15;;csirkemell roston;
2020.08.16;;csirkemell roston;
2020.08.17;;csirkemell roston;rizs
2020.08.18;;kelkáposzta főzelék;
2020.08.19;zöldségleves;palacsinta;
2020.08.20;;borjúpaprikás;túrós csusza
2020.08.21;;borjúpaprikás;túrós csusza
2020.08.22;gulyásleves;;kelt kalácsok
2020.08.23;gulyásleves;;kelt kalácsok
2020.08.24;gulyásleves;;kelt kalácsok
2020.08.25;;hurka kolbász;
2020.08.26;;borsópörkölt;
2020.08.27;;pisztráng;sült krumpli
2020.08.28;;marhasült meggyszósszal;főtt krumpli
2020.08.29;;marhasült meggyszósszal;főtt krumpli
2020.08.30;;tökfőzelék;
2020.08.31;;tökfőzelék;
2020.09.01;tarhonyaleves;;
2020.09.02;tarhonyaleves;tepsis tészta;
2020.09.03;;tepsis tészta;
2020.09.04;;sertéstokány;penne
2020.09.05;;sertéstokány;penne
2020.09.06;gombakrémleves;babfőzelék;
2020.09.07;;babfőzelék;
2020.09.08;;burek;
2020.09.09;;sóska;
2020.09.10;;sóska;
2020.09.11;krumplileves;lángos;
2020.09.12;;pesztós tészta;
2020.09.13;borsóleves;rakott krumpli;
2020.09.14;borsóleves;rakott krumpli;
2020.09.15;;lecsó;tarhonya
2020.09.16;;rizses hús;
2020.09.17;;rántott sajt;kukoricás rizs
2020.09.18;;sertéspörkölt;
2020.09.19;tyúkhúsleves;sajtos hús;majonézes krumplisaláta
2020.09.20;zellerkrémleves;rántott hús;krumplipüré
2020.09.21;zellerkrémleves;rántott hús;krumplipüré
2020.09.22;;lecsó;
2020.09.23;;lecsó;
2020.09.24;;lencsefőzelék;
2020.09.25;;lencsefőzelék;
2020.09.26;karalábéleves;resztelt máj;főtt krumpli
2020.09.27;;rakott kelkáposzta;
2020.09.28;;rakott kelkáposzta;
2020.09.29;paradicsomleves;krumplis tészta;
2020.09.30;;hurka kolbász;
2020.10.01;;slambuc;
2020.10.02;;slambuc;
2020.10.03;;tejszínes gombás brokkolis csirkemell;rizs
2020.10.04;;sertéspörkölt;nokedli
2020.10.05;;sertéspörkölt;nokedli
2020.10.06;meggyleves;mákos tészta;
2020.10.07;;;
2020.10.08;sárgaborsóleves;;tepertős pogácsa
2020.10.09;sárgaborsóleves;;tepertős pogácsa
2020.10.10;zöldségleves;gombás marhasült barnamártás;krokett
2020.10.11;zöldségleves;gombás marhasült barnamártás;krokett
2020.10.12;zöldségleves;gombás marhasült barnamártás;krokett
2020.10.13;;;
2020.10.14;tarhonyaleves;rántott sajt ;bulgur
2020.10.15;tarhonyaleves;rántott sajt ;bulgur
2020.10.16;;harasztos káposzta;
2020.10.17;;harasztos káposzta;
2020.10.18;;rántott csirkemell;rizs
2020.10.19;;;
2020.10.20;;bauernfrühstück;
2020.10.21;;túrós tészta;
2020.10.22;;tökfőzelék;
2020.10.23;gulyásleves;;
2020.10.24;gulyásleves;;
2020.10.25;;sült kacsacomb párolt lilakáposztával;krumplipüré
2020.10.26;;sült kacsacomb párolt lilakáposztával;krumplipüré
2020.10.27;;sült tarja;főtt krumpli
2020.10.28;;sült tarja;főtt krumpli
2020.10.29;;babfőzelék;
2020.10.30;;;
2020.10.31;;rántott hús;orosz hússaláta
2020.11.01;;rántott hús;orosz hússaláta
2020.11.02;;sólet;
2020.11.03;;sólet;
2020.11.04;;sertéspörkölt;
2020.11.05;;káposztás tészta;
2020.11.06;;kenyérlángos;
2020.11.07;;tejfölös hús;
2020.11.08;;tejfölös hús;
2020.11.09;gyümölcsleves;rántott sajt;rizs
2020.11.10;lebbencsleves;krumplis tészta;
2020.11.11;lebbencsleves;sült kacsacomb párolt lilakáposztával;hagymás tört krumpli
2020.11.12;tarhonyaleves;hurka;
2020.11.13;;tökfőzelék;
2020.11.14;;rakott káposzta;
2020.11.15;;rakott káposzta;
2020.11.16;;rakott káposzta;
2020.11.17;;krumplifőzelék;
2020.11.18;;lecsó;
2020.11.19;gulyásleves;;pogácsa
2020.11.20;gulyásleves;;pogácsa
2020.11.21;;milánói;spagetti
2020.11.22;;aszalt szilvával töltött karaj;sült krumpli
2020.11.23;;aszalt szilvával töltött karaj;sült krumpli
2020.11.24;;milánói;spagetti
2020.11.25;;milánói;spagetti
2020.11.26;frankfurti leves;;pogácsa
2020.11.27;zöldséges bableves;palacsinta;
2020.11.28;zöldséges bableves;mákos guba vaníliasodóval;
2020.11.29;;tyúkpörkölt;nokedli
2020.11.30;;tyúkpörkölt;nokedli
2020.12.01;;tyúkpörkölt;nokedli
2020.12.02;;rizses hús;
2020.12.03;;káposztás tészta;
2020.12.04;tyúkhúsleves;sajtos hús;majonézes krumplisaláta
2020.12.05;tyúkhúsleves;sajtos hús;majonézes krumplisaláta
2020.12.06;tyúkhúsleves;sajtos hús;majonézes krumplisaláta
2020.12.07;;;
2020.12.08;;csirkenyak pörkölt;nokedli
2020.12.09;;lecsó;tarhonya
2020.12.10;;derelye;
2020.12.11;;lencsefőzelék;
2020.12.12;;lencsefőzelék;
2020.12.13;frankfurti leves;;
2020.12.14;frankfurti leves;tepsis káposzta;
2020.12.15;;tepsis káposzta;
2020.12.16;paradicsomleves;túrós tészta;
2020.12.17;halászlé;;
2020.12.18;halászlé;;
2020.12.19;halászlé;;
2020.12.20;csirkeraguleves;hurka;
2020.12.21;csirkeraguleves;hurka;
2020.12.22;;resztelt máj;főtt krumpli
2020.12.23;;hortobágyi húsos palacsinta;
2020.12.24;tárkonyos szarvasraguleves;szalámi kolbász sajt;
2020.12.25;;;
2020.12.26;tárkonyos szarvasraguleves;;
2020.12.27;;harasztos káposzta;
2020.12.28;;harasztos káposzta;
2020.12.29;;harasztos káposzta;
2020.12.30;;harasztos káposzta;
2020.12.31;korhelyleves;rántott hús;petrezselymes burgonya
